ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight(kg),Length(cm),Width(cm),Height(cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
274053003,simple,5923621613337,"Cuộn Giấy Bạc Dán Bếp Cách Nhiệt, Miếng Decal Dán Tường Nhà Bếp Chống Thấm Bền Đẹp (Khổ 60cm)",1,0,visible,,"CUỘN GIẤY BẠC DÁN BẾP- Chất liệu: Giấy tráng nhôm cách nhiệt- Kích thước:2mx60cm; 3mx60cm - Màu sắc: Bạc- Đặc điểm: Tráng nhôm cách nhiệt, không bám dính dầu mỡ, không thấm nước, bền màu, không độ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,21000,22000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/8f/c5/8f/3ca3c8cfc48399a503361133e806c6fe.jpg,,,,,,,,,0
275511975,simple,7333352934231,Túi hút chân không thực phẩm dạng cuộn Elmich EL0024D,1,0,visible,,"Túi hút chân không thực phẩm dạng cuộn Elmich EL0024DAn toàn chuẩn Châu ÂuThiết kế nhỏ, gọn nhẹ, thuận tiện cất vào tủ bếp và di chuyểnDesign bởi team Elmich Châu ÂuGiải pháp tiện lợi cho cuộc số...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,59000,90000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/21/63/f6/71b61a1abbe53930aa10a99af84e76ab.jpg,,,,,,,,,0
275090382,simple,7979737094476,"Gói Xi Măng Dẻo 20g Bịt Lỗ Điều Hoà, Đường Ống Nước, Keo Dán Lỗ Tường Bằng Xi Măng",1,0,visible,,"THÔNG TIN SẢN PHẨM- Tên sản phẩm: Gói xi măng dẻo 20g vá tường, bịt lỗ điều hoà , bịt khe hở tường ngăn côn trùng- Khối lượng tịnh: 20g / bao- Đất Sét Bịt Lỗ Điều Hoà, Keo Bùn Chống Thấm Ngăn Côn T...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,2000,4000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/99/9b/31/203a4f5ec1e9fe1cf9e5f9db2baf0cff.jpg,,,,,,,,,0
276827222,simple,2517993709186,Gói 4 Miếng Chữ Nhật Cước cọ rửa Scotch Brite 3M 7447 Mạnh hơn inox (10x15cm) ,1,0,visible,,"Giới thiệu Gói 4 miếng cước cọ rửa mạnh hơn inox 3M 7447Gói 4 miếng cước cọ rửa mạnh hơn inox 3M 7447 được cấu tạo bởi những sợi cước đặc biệt, kết hợp chặt chẽ với hạt mài đa góc cạnh sắc bền. Miế...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,12000,12000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/59/31/62/eac2acf813b15ebdfab27f35dbac924c.jpg,,,,,,,,,0
275245349,simple,3036654834167,"Bạt nhựa PVC che nắng mưa, may viền khuy sẵn tiện dụng. Nhiều kích thước lựa chọn",1,0,visible,,"BẠT NHỰA PVC TARPAULINBạt nhựa PVC Tarpaulin đươc sản xuất dựa trên lớp vải dệt có độ bền cao được tráng phủ PVC trên 2 mặt, chuyên dụng làm bạt phủ oto, xe tải, lều trại.Vải bạt được may viền khuy ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,120000,120000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/ff/a6/bd/2ac7e1590291ba1ce2e1a0c237f85e28.png,,,,,,,,,0
108388290,simple,5068650533538,"Gối kê chân chống giãn tĩnh mạch YOROKOBI cao 25cm dành cho người đau nhức chân, tiểu đường, tê bì, vọp bẻ, kiến bò, mẹ bầu phù chân tích nước - hàng thương hiệu- TÍM",1,0,visible,,"- Bạn đau đớn vì suy giãn tĩnh mạch, uống thuốc đâu lại hoàn đấy?- Cha mẹ, người thân bạn đau nhức chân tay, tiểu đường…hay thức giấc giữa đêm hoặc mất ngủ vì tê bì, vọp bẻ, kiến bò…?- Gia đình bạn ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,750000,750000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/60/a0/ee/aa86cff8ef21c4f17ea95aee7106b979.jpg,,,,,,,,,0
184887708,simple,6469579072051,"Áo Mưa Cánh Dơi Cao Cấp, GIÁ SỈ, RANDO Chính Hãng, Có Kiếng Phủ Đèn Xe Máy, Nhựa PVC Dày Dặn, Bền Bỉ Không Thấm Nước",1,0,visible,,"Chất liệu PVC cao cấp, không chứa độc tố, không chứa hóa chất Phthalate tạo dẻo, không gây hại cho da và không gây ung thư, an toàn cho người sử dụng.   § Đặc Điểm ÁO MƯA RANDO   · ÁO MƯA...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,219000,219000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/93/5f/c1/dba20dec3a271f16f0df84df76ed8b78.jpg,,,,,,,,,0
273730169,simple,5941931054477,"Giá Đỡ Bản Lề Gập, Giá Ke Góc Gập Đỡ Bàn Chữ K Gấp Gọn Treo Tường Pát Ke Đỡ Khay Kệ Nhà Bếp Phòng Khách Legaxi",1,0,visible,,"THÔNG TIN SẢN PHẨMChất liệu: Sắt sơn trắngKích thước: shop gồm 3 kích thước- 25cm: Dài 25cm, cao 12cm, cạnh huyền 14cm- 30cm: Dài 30cm, cao 16cm, cạnh huyền 16cm- 40cm: Dài 39.6cm, cao 16,9cm, cạnh h...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,73000,73000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/3c/eb/09/e1de70db7c3ff42c5a5538f29af1e2d6.jpg,,,,,,,,,0
245074464,simple,6519585175447,Loại INOX - Đầu Nối Vòi Nước Xoay 1080 độ - Đầu Vòi Nước Thông Minh Lắp Bồn Rửa Mặt - Hai Chế Độ Nước - Hàng Nhập Khẩu,1,0,visible,,1. THÔNG SỐ KỸ THUẬT- Tên sản phẩm: Đầu Nối Vòi Nước Xoay 1080 độ - Đầu Vòi Nước Thông Minh Lắp Bồn Rửa Mặt - Hai Chế Độ Nước- Chất liệu: INOX- Trọng lượng: 170~200g- Màu sắc : Màu bạc- Loại cài đ...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,105000,105000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/41/8c/43/83d8734b81f22ca128a6a066e8c8c625.jpg,,,,,,,,,0
207035344,simple,9194843086755,Drap lẻ Hometex cotton in hoa văn,1,0,visible,,"DRAP LẺ COTTON IN HOA VĂNXuất xứ: Việt NamThương hiệu: HometexSản xuất tại: CTy CP May Thiên HàKích thước: 160x200cm / 180x200cmChất liệu: 100% cotton thông thoáng, mát mẻ, không gây bức bí, ấm á...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,460000,575000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/3b/a6/9f/2f96c3f48e555d314ac69ae9704b8433.jpg,,,,,,,,,0
